gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	mult_matches	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date
SLC35D1	SLC35D1	ok	NO	0.00853	0.187	0.0192	0.207	0.308	0.71	0.0656	HGNC:20800	solute carrier family 35 member D1	protein-coding gene	gene with protein product	Approved	1p31.3	01p31.3	UGTREL7|KIAA0260	NA	NA	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1|solute carrier family 35 (UDP-GlcA/UDP-GalNAc transporter), member D1	Solute carriers	752	2003-04-09	NA	2016-02-17	2016-02-17	23169	ENSG00000116704	OTTHUMG00000009360	uc001ddk.3	AB044343	NM_015139	CCDS636	Q9NTN3	11322953	MGI:2140361	RGD:1309843	NA	SLC35D1	610804	NA	NA	NA	SLC35D1	168079	NA	NA	NA	NA	objectId:1149	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
HIBCH	HIBCH	ok	NO	0.0284	0.273	0.00525	0.149	0.664	0.646	0.0656	HGNC:4908	3-hydroxyisobutyryl-CoA hydrolase	protein-coding gene	gene with protein product	Approved	2q32.2	02q32.2	NA	NA	NA	3-hydroxyisobutyryl-Coenzyme A hydrolase	NA	NA	1999-12-07	NA	2010-04-29	2016-10-05	26275	ENSG00000198130	OTTHUMG00000132673	uc002uru.3	U66669	NM_014362	CCDS2304|CCDS46475	Q6NVY1	8824301	MGI:1923792	RGD:1308392	NA	HIBCH	610690	NA	NA	NA	NA	159703	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1.2.4	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RDH11	RDH11	ok	NO	0.0024	0.139	0.0431	0.276	0.237	0.918	0.0656	HGNC:17964	retinol dehydrogenase 11	protein-coding gene	gene with protein product	Approved	14q24.1	14q24.1	MDT1|SDR7C1|ARSDR1	short chain dehydrogenase/reductase family 7C, member 1|androgen-regulated short-chain dehydrogenase/reductase 1	NA	retinol dehydrogenase 11 (all-trans and 9-cis)|retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	Short chain dehydrogenase/reductase superfamily	743	2002-12-11	NA	2018-02-09	2018-02-09	51109	ENSG00000072042	OTTHUMG00000171196	uc001xjv.6	AF151840	NM_001252650	CCDS32104|CCDS58326	Q8TC12	12226107|8018917|19027726	MGI:102581	RGD:1312001	NA	RDH11	607849	NA	NA	NA	NA	444684	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1.1.-	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NDRG3	NDRG3	ok	NO	0.028	0.273	0.00515	0.149	0.718	0.277	0.0656	HGNC:14462	NDRG family member 3	protein-coding gene	gene with protein product	Approved	20q11.23	20q11.23	NA	NA	NA	NA	NA	NA	2001-01-24	NA	NA	2016-10-05	57446	ENSG00000101079	OTTHUMG00000032398	uc002xfw.4	AL031662	NM_022477	CCDS13284|CCDS13285	Q9UGV2	10831399|17998568	MGI:1352499	RGD:1359424	NA	NDRG3	605273	NA	NA	NA	NA	NA	NA	NA	S33.987	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NDFIP1	NDFIP1	ok	NO	0.0277	0.272	0.00509	0.149	0.135	0.92	0.0656	HGNC:17592	Nedd4 family interacting protein 1	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	N4WBP5|MGC10924	NA	NA	NA	NA	NA	2003-02-07	NA	NA	2014-11-19	80762	ENSG00000131507	OTTHUMG00000129659	uc003lmi.5	BC004317	NM_030571	CCDS4273	Q9BT67	11042109|11748237	MGI:1929601	RGD:1310053	NA	NDFIP1	612050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PPP1R1B	PPP1R1B	ok	NO	0.0432	0.304	0.00254	0.127	0.918	0.003	0.0656	HGNC:9287	protein phosphatase 1 regulatory inhibitor subunit 1B	protein-coding gene	gene with protein product	Approved	17q12	17q12	DARPP-32|FLJ20940	dopamine and cAMP regulated phosphoprotein	NA	protein phosphatase 1, regulatory (inhibitor) subunit 1B	Protein phosphatase 1 regulatory subunits	694	1993-01-22	NA	2015-11-18	2015-11-18	84152	ENSG00000131771	OTTHUMG00000133210	uc002hrz.4	AI124650	NM_032192	CCDS11339|CCDS11340	Q9UD71	8120638	MGI:94860	RGD:621859	NA	PPP1R1B	604399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1.3.16	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PARD6G	PARD6G	ok	NO	0.0081	0.186	0.0208	0.215	0.258	0.166	0.0656	HGNC:16076	par-6 family cell polarity regulator gamma	protein-coding gene	gene with protein product	Approved	18q23	18q23	PAR-6G|PAR6gamma	NA	NA	par-6 (partitioning defective 6, C.elegans) homolog gamma|par-6 partitioning defective 6 homolog gamma (C. elegans)	PDZ domain containing	1220	2001-07-31	NA	2013-08-28	2014-11-18	84552	ENSG00000178184	OTTHUMG00000132922	uc002lny.4	NA	NM_032510	CCDS12022	Q9BYG4	11260256	MGI:2135606	RGD:1305016	NA	PARD6G	608976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SLC45A3	SLC45A3	ok	NO	0.00977	0.197	0.0169	0.199	0.309	0.334	0.0656	HGNC:8642	solute carrier family 45 member 3	protein-coding gene	gene with protein product	Approved	1q32.1	01q32.1	IPCA-6|prostein|IPCA-2|IPCA-8	NA	PCANAP6|PCANAP2|PCANAP8	prostate cancer associated protein 6|prostate cancer associated protein 2|prostate cancer associated protein 8|solute carrier family 45, member 3	Solute carriers	752	2000-04-13	2005-10-04	2015-12-08	2015-12-08	85414	ENSG00000158715	OTTHUMG00000037223	uc001hda.2	AF109301	NM_033102	CCDS1458	Q96JT2	10613842|11245466	MGI:1922082	RGD:1309764	NA	SLC45A3	605097	NA	NA	NA	SLC45A3	NA	NA	NA	NA	NA	objectId:1211	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SLC25A48	SLC25A48	ok	NO	0.0167	0.228	0.01	0.177	NA	NA	0.0656	HGNC:30451	solute carrier family 25 member 48	protein-coding gene	gene with protein product	Approved	5q31.1	05q31.1	FLJ44862|HDMCP	HCC-down-regulated mitochondrial carrier protein	NA	solute carrier family 25, member 48	Solute carriers	752	2010-07-19	NA	2015-12-08	2015-12-08	153328	ENSG00000145832	OTTHUMG00000157007	uc063hex.1	NA	NM_145282	CCDS43366|CCDS87323	Q6ZT89	15322095|19303656	MGI:2145373	RGD:1563703	NA	SLC25A48	616150	NA	NA	NA	SLC25A48	NA	NA	NA	NA	NA	objectId:2559	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ANKRD52	ANKRD52	ok	NO	0.0334	0.281	0.00397	0.144	0.123	0.644	0.0656	HGNC:26614	ankyrin repeat domain 52	protein-coding gene	gene with protein product	Approved	12q13.3	12q13.3	FLJ34236|PP6-ARS-C	protein phosphatase 6 ankyrin repeat subunit C	NA	NA	Ankyrin repeat domain containing|Protein phosphatase 6 regulatory subunits	403|699	2006-01-17	NA	NA	2015-09-11	283373	ENSG00000139645	OTTHUMG00000170329	uc001skm.5	AK091555	NM_173595	CCDS44920	Q8NB46	NA	MGI:2444029	RGD:1307124	NA	ANKRD52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SLC35B2	SLC35B2	ok	NO	0.00393	0.151	0.033	0.248	0.0194	0.357	0.0656	HGNC:16872	solute carrier family 35 member B2	protein-coding gene	gene with protein product	Approved	6p21.1	06p21.1	UGTrel4	NA	NA	solute carrier family 35, member B2|solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2	Solute carriers	752	2003-04-10	NA	2016-02-17	2016-02-17	347734	ENSG00000157593	OTTHUMG00000014760	uc011dvu.4	AK075456	NM_001286509	CCDS34462|CCDS69127|CCDS75462|CCDS75463	Q8TB61	NA	MGI:1921086	RGD:1565318	NA	SLC35B2	610788	NA	NA	NA	SLC35B2	NA	NA	NA	NA	NA	objectId:1144	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PTTG1IP	PTTG1IP	ok	NO	0.0454	0.309	0.00247	0.127	0.88	0.37	0.0667	HGNC:13524	PTTG1 interacting protein	protein-coding gene	gene with protein product	Approved	21q22.3	21q22.3	PBF	NA	C21orf3|C21orf1	pituitary tumor-transforming 1 interacting protein	NA	NA	2000-09-20	NA	2017-02-28	2017-02-28	754	ENSG00000183255	OTTHUMG00000090254	uc002zgb.3	AF149785	NM_001286822	CCDS13715|CCDS68221	P53801	9570958|10830953	MGI:2652132	RGD:1305983	NA	PTTG1IP	603784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RAD1	RAD1	ok	NO	0.0212	0.244	0.00835	0.173	0.878	0.155	0.0667	HGNC:9806	RAD1 checkpoint DNA exonuclease	protein-coding gene	gene with protein product	Approved	5p13.2	05p13.2	HRAD1|REC1	exonuclease homolog RAD1|checkpoint control protein HRAD1|cell cycle checkpoint protein Hrad1|Rad1-like DNA damage checkpoint|DNA repair exonuclease REC1|RAD1 checkpoint clamp component	NA	RAD1 (S. pombe) homolog|RAD1 homolog (S. pombe)	Checkpoint clamp complex	1339	1998-07-31	NA	2014-08-08	2016-10-05	5810	ENSG00000113456	OTTHUMG00000090783	uc003jix.4	AF074717	NM_002853	CCDS3905	O60671	9716408|9828137	MGI:1316678	RGD:1306496	NA	RAD1	603153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1.11.2	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ELL	ELL	ok	NO	0.0534	0.328	0.00164	0.114	9.13e-4	0.64	0.0667	HGNC:23114	elongation factor for RNA polymerase II	protein-coding gene	gene with protein product	Approved	19p13.11	19p13.11	Men|ELL1|PPP1R68	protein phosphatase 1, regulatory subunit 68|eleven-nineteen lysine-rich leukemia gene	C19orf17	chromosome 19 open reading frame 17|elongation factor RNA polymerase II	Protein phosphatase 1 regulatory subunits|Super elongation complex	694|1280	2003-09-17	NA	2016-01-21	2016-10-05	8178	ENSG00000105656	OTTHUMG00000183364	uc002njh.3	U16282	NM_006532	CCDS12380	P55199	7991593|8596958	MGI:109377	RGD:1311121	NA	ELL	600284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CSPG5	CSPG5	ok	NO	0.0174	0.23	0.0105	0.178	0.873	0.415	0.0667	HGNC:2467	chondroitin sulfate proteoglycan 5	protein-coding gene	gene with protein product	Approved	3p21.31	03p21.31	NGC	neuroglycan C	NA	chondroitin sulfate proteoglycan 5 (neuroglycan C)	NA	NA	1999-07-23	NA	2015-12-16	2016-10-05	10675	ENSG00000114646	OTTHUMG00000133518	uc003crp.5	AF059274	NM_006574	CCDS2757|CCDS56252|CCDS56253|CCDS74930	O95196	9950058	MGI:1352747	RGD:2431	NA	CSPG5	606775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
COPS4	COPS4	ok	NO	0.0196	0.238	0.0092	0.175	0.319	0.113	0.0667	HGNC:16702	COP9 signalosome subunit 4	protein-coding gene	gene with protein product	Approved	4q21.22	04q21.22	CSN4	NA	NA	COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 4|COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	COP9 signalosome 	932	2001-09-27	NA	2013-03-14	2015-08-24	51138	ENSG00000138663	OTTHUMG00000130298	uc003hoa.4	AF100757	NM_001258006	CCDS3600|CCDS58909|CCDS82935	Q9BT78	9707402	MGI:1349414	RGD:1302952	NA	COPS4	616008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
FAM178B	FAM178B	ok	NO	0.00165	0.13	0.0536	0.298	NA	NA	0.0667	HGNC:28036	family with sequence similarity 178 member B	protein-coding gene	gene with protein product	Approved	2q11.2	02q11.2	LOC51252	NA	NA	family with sequence similarity 178, member B	NA	NA	2008-07-18	NA	2015-11-18	2016-09-30	51252	ENSG00000168754	OTTHUMG00000155257	uc002sxj.4	AF151068|BC039488	NM_016490	CCDS33252|CCDS46366	Q8IXR5	11042152	MGI:3026913	RGD:1564591	NA	FAM178B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CHST15	CHST15	ok	NO	0.0344	0.283	0.00403	0.144	NA	NA	0.0667	HGNC:18137	carbohydrate sulfotransferase 15	protein-coding gene	gene with protein product	Approved	10q26.13	10q26.13	GALNAC4S-6ST|BRAG|KIAA0598	B cell RAG associated protein|N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase	NA	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	Sulfotransferases, membrane bound	763	2009-05-20	NA	2016-05-09	2016-10-05	51363	ENSG00000182022	OTTHUMG00000019208	uc001lhn.4	AB011170	NM_015892	CCDS7638|CCDS55731	Q7LFX5	9628581|9754571|11572857	MGI:1924840	RGD:628881	NA	CHST15	608277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8.2.33	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
WRNIP1	WRNIP1	ok	NO	0.00637	0.174	0.0251	0.226	0.0238	0.917	0.0667	HGNC:20876	Werner helicase interacting protein 1	protein-coding gene	gene with protein product	Approved	6p25.2	06p25.2	WHIP|FLJ22526|bA420G6.2	NA	NA	NA	AAA ATPases	413	2003-06-13	NA	NA	2014-11-19	56897	ENSG00000124535	OTTHUMG00000014126	uc003mtz.4	AB056152	NM_130395	CCDS4475|CCDS4476	Q96S55	11301316	MGI:1926153	RGD:628836	NA	WRNIP1	608196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MEAF6	MEAF6	ok	NO	0.00831	0.187	0.0212	0.216	NA	NA	0.0667	HGNC:25674	MYST/Esa1 associated factor 6	protein-coding gene	gene with protein product	Approved	1p34.3	01p34.3	NY-SAR-91|FLJ11730|Eaf6|CENP-28	Esa1p-associated factor 6 homolog (S. cerevisiae)|centromere protein 28	C1orf149	chromosome 1 open reading frame 149|MYST/Esa1-associated factor 6	NA	NA	2005-07-13	2009-07-13	2016-03-09	2016-10-05	64769	ENSG00000163875	OTTHUMG00000004223	uc001cbe.4	BC016328	NM_022756	CCDS418|CCDS59195|CCDS59196	Q9HAF1	8619474|9110174|12963728|14966270|16387653	MGI:1917338	RGD:1310440	NA	MEAF6	611001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ZNF527	ZNF527	ok	NO	5.27e-4	0.0926	0.0807	0.35	0.137	0.155	0.0667	HGNC:29385	zinc finger protein 527	protein-coding gene	gene with protein product	Approved	19q13.12	19q13.12	KIAA1829	NA	NA	NA	Zinc fingers C2H2-type	28	2004-02-02	NA	NA	2016-10-05	84503	ENSG00000189164	OTTHUMG00000048173	uc010efk.2	AB058732|AK091585	NM_032453	CCDS42559	Q8NB42	11347906	NA	NA	NA	ZNF527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	628	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
COG7	COG7	ok	NO	0.0504	0.322	0.00188	0.117	0.00898	0.00132	0.0667	HGNC:18622	component of oligomeric golgi complex 7	protein-coding gene	gene with protein product	Approved	16p12.2	16p12.2	NA	NA	NA	NA	Components of oligomeric golgi complex	493	2002-05-09	NA	NA	2014-11-18	91949	ENSG00000168434	OTTHUMG00000094807	uc002dlo.4	AF070568	NM_153603	CCDS10610	P83436	11980916	MGI:2685013	RGD:1566058	NA	COG7	606978	NA	NA	NA	NA	120686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
H2AFX	H2AFX	ok	NO	0.00887	0.188	0.0215	0.217	0.949	0.97	0.0681	HGNC:4739	H2A histone family member X	protein-coding gene	gene with protein product	Approved	11q23.3	11q23.3	NA	NA	H2AX	H2A histone family, member X	Histones	864	1994-11-22	NA	2015-11-18	2018-11-05	3014	ENSG00000188486	OTTHUMG00000166196	uc001pvg.4	X14850	NM_002105	CCDS8410	P16104	8076949	MGI:102688	RGD:1566119	NA	H2AFX	601772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NFIA	NFIA	ok	NO	0.0245	0.26	0.0071	0.161	0.387	0.026	0.0681	HGNC:7784	nuclear factor I A	protein-coding gene	gene with protein product	Approved	1p31.3	01p31.3	NFI-L|KIAA1439	NA	NA	nuclear factor I/A	NA	NA	1995-03-09	NA	2016-04-06	2016-10-05	4774	ENSG00000162599	OTTHUMG00000008618	uc001czw.4	U07809	NM_005595	CCDS615|CCDS44156|CCDS53322|CCDS53321	Q12857	7590749	MGI:108056	RGD:3170	NA	NFIA	600727	NA	NA	NA	NA	409843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PPP3R1	PPP3R1	ok	NO	0.0509	0.323	0.00204	0.118	0.747	0.0294	0.0681	HGNC:9317	protein phosphatase 3 regulatory subunit B, alpha	protein-coding gene	gene with protein product	Approved	2p14	02p14	CALNB1|CNB|CNB1	calcineurin B, type I (19kDa)|protein phosphatase 2B regulatory subunit B alpha	NA	protein phosphatase 3 (formerly 2B), regulatory subunit B (19kD), alpha isoform (calcineurin B, type I)|protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)|protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform|protein phosphatase 3, regulatory subunit B, alpha	Protein phosphatase 3 regulatory subunits|EF-hand domain containing	697|863	1993-01-25	NA	2015-11-18	2015-11-18	5534	ENSG00000221823	OTTHUMG00000129561	uc002sei.2	M30773	NM_000945	CCDS46310	P63098	8978785|2558868	MGI:107172	RGD:69230	NA	PPP3R1	601302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1.3.16	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PEX5	PEX5	ok	NO	0.00561	0.166	0.0295	0.24	0.229	0.795	0.0681	HGNC:9719	peroxisomal biogenesis factor 5	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	PTS1R	peroxisomal targeting signal 1 receptor|peroxisomal import receptor 5	PXR1	peroxisome receptor 1	Tetratricopeptide repeat domain containing|Peroxins	769|957	1994-12-13	2004-03-19	2004-03-17	2017-07-07	5830	ENSG00000139197	OTTHUMG00000168175	uc009zfu.3	U19721	NM_000319	CCDS8576|CCDS44822|CCDS44823|CCDS44824|CCDS73433	P50542	NA	MGI:1098808	RGD:1307612	dbPEX, PEX Gene Database|http://www.dbpex.org/home.php?select_db=PEX5	PEX5	600414	NA	NA	NA	NA	124211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RBM4	RBM4	ok	NO	0.0228	0.252	0.00814	0.172	0.271	0.0168	0.0681	HGNC:9901	RNA binding motif protein 4	protein-coding gene	gene with protein product	Approved	11q13.2	11q13.2	LARK|RBM4A|ZCRB3A|ZCCHC21	NA	NA	NA	Zinc fingers CCHC-type|RNA binding motif containing	74|725	1997-12-23	NA	NA	2016-10-05	5936	ENSG00000173933	OTTHUMG00000154171	uc001oiw.3	U89505	NM_002896	CCDS41676|CCDS55776|CCDS55777	Q9BWF3	9169144|16260624	MGI:1100865	RGD:1306891	NA	RBM4	602571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MRPS35	MRPS35	ok	NO	0.0213	0.245	0.00882	0.173	0.332	0.989	0.0681	HGNC:16635	mitochondrial ribosomal protein S35	protein-coding gene	gene with protein product	Approved	12p11.22	12p11.22	MRPS28|MDS023	NA	NA	NA	Mitochondrial ribosomal proteins	646	2001-09-20	NA	NA	2016-10-05	60488	ENSG00000061794	OTTHUMG00000169215	uc001rih.4	AF182422	NM_021821	CCDS8714|CCDS53769	P82673	11279123	MGI:2385255	RGD:1306720	NA	MRPS35	611995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ZNF665	ZNF665	ok	NO	0.0063	0.173	0.0277	0.235	0.255	0.402	0.0681	HGNC:25885	zinc finger protein 665	protein-coding gene	gene with protein product	Approved	19q13.42	19q13.42	FLJ14345	NA	NA	NA	Zinc fingers C2H2-type	28	2005-03-17	NA	NA	2014-11-19	79788	ENSG00000197497	OTTHUMG00000182885	uc010eqm.2	NA	NM_024733	CCDS46169	Q9H7R5	NA	MGI:108187	RGD:2319215	NA	ZNF665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CYBRD1	CYBRD1	ok	NO	0.00765	0.181	0.0239	0.222	0.869	0.499	0.0681	HGNC:20797	cytochrome b reductase 1	protein-coding gene	gene with protein product	Approved	2q31.1	02q31.1	DCYTB|FLJ23462|FRRS3|CYB561A2	ferric-chelate reductase 3|cytochrome b561 family, member A2	NA	NA	Cytochrome b561	497	2003-07-16	NA	NA	2016-10-05	79901	ENSG00000071967	OTTHUMG00000132260	uc002ugy.5	AK027115	NM_024843	CCDS2244|CCDS46449|CCDS58736	Q53TN4	11230685	MGI:2654575	RGD:1305740	NA	CYBRD1	605745	NA	NA	NA	NA	470154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NAV1	NAV1	ok	NO	3.4e-4	0.0924	0.0952	0.376	0.53	0.43	0.0681	HGNC:15989	neuron navigator 1	protein-coding gene	gene with protein product	Approved	1q32.1	01q32.1	FLJ12560|FLJ14203|KIAA1151|MGC14961|POMFIL3|steerin-1|DKFZp781D0314	neuron navigator-1|pore membrane and/or filament interacting like protein 3	NA	NA	NA	NA	2001-06-29	NA	NA	2016-10-05	89796	ENSG00000134369	OTTHUMG00000035766	uc057oje.1	AF086348	NM_020443	CCDS1414|CCDS53456	Q8NEY1	12079279|12062803	MGI:2183683	RGD:1590261	NA	NAV1	611628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
APOE	APOE	ok	NO	0.0132	0.212	0.016	0.197	0.22	0.649	0.069	HGNC:613	apolipoprotein E	protein-coding gene	gene with protein product	Approved	19q13.32	19q13.32	NA	NA	AD2	Alzheimer disease 2 (APOE*E4-associated, late onset)	Apolipoproteins	405	2001-06-22	NA	NA	2016-10-05	348	ENSG00000130203	OTTHUMG00000128901	uc002pab.4	K00396	NM_000041	CCDS12647	P02649	10662539	MGI:88057	RGD:2138	ALSOD, the Amyotrophic Lateral Sclerosis Online Genetic Database|http://alsod.iop.kcl.ac.uk/	APOE	107741	NA	NA	NA	NA	121390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
BECN1	BECN1	ok	NO	0.018	0.233	0.0116	0.18	3.67e-6	0.0758	0.069	HGNC:1034	beclin 1	protein-coding gene	gene with protein product	Approved	17q21.31	17q21.31	ATG6|VPS30	ATG6 autophagy related 6 homolog (S. cerevisiae)	NA	beclin 1 (coiled-coil, moesin-like BCL2 interacting protein)|beclin 1, autophagy related	Autophagy related|PIK3C3 complex subunits	1022|1596	1998-11-27	NA	2016-04-28	2016-10-05	8678	ENSG00000126581	OTTHUMG00000180653	uc002ibn.3	AF077301	NM_003766	CCDS11441|CCDS82132	Q14457	9765397	MGI:1891828	RGD:620190	NA	BECN1	604378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
